"Page_views","word_count","read_time","gender","pictures","type","clickbait_title"
22000,2151,8,"Male",1,"News","Yes"
24834,2595,8,"Male",1,"Entertainment","Yes"
27606,4418,14,"Male",3,"Entertainment","Yes"
21788,2714,10,"Male",1,"News","No"
6611,4462,14,"Male",1,"Entertainment","Maybe"
15837,2665,9,"Male",6,"Entertainment","No"
13732,2852,9,"Female",1,"News","No"
24023,2913,10,"Male",3,"News","Yes"
19375,2374,8,"Male",1,"News","Yes"
22367,2905,10,"Female",1,"News","Yes"
14052,2465,9,"Male",3,"Entertainment","Yes"
23424,3637,11,"Other",4,"News","No"
11599,2835,9,"Female",2,"News","No"
11437,3927,12,"Male",0,"News","Yes"
25853,3724,12,"Male",5,"News","Yes"
14825,2983,10,"Female",3,"News","No"
22494,2667,9,"Female",0,"Entertainment","Yes"
14762,2713,9,"Male",1,"News","No"
22379,2631,10,"Female",1,"Entertainment","Maybe"
12033,1218,4,"Female",2,"Entertainment","No"
27120,4175,14,"Male",1,"News","Yes"
11998,2586,9,"Male",0,"Entertainment","Yes"
23133,4168,14,"Female",2,"Entertainment","Yes"
11677,3846,12,"Female",2,"News","Maybe"
14596,3774,12,"Male",3,"Entertainment","No"
14471,2379,8,"Female",4,"Entertainment","No"
19722,2629,9,"Female",5,"Entertainment","Yes"
17513,3847,12,"Male",1,"News","Yes"
22404,3301,11,"Female",1,"News","No"
8028,2585,9,"Female",3,"Entertainment","No"
23993,3709,12,"Female",0,"Entertainment","Yes"
27786,4538,15,"Female",1,"News","Yes"
16172,2202,7,"Male",2,"News","Yes"
25172,3397,10,"Male",1,"Entertainment","Maybe"
23663,1775,5,"Male",0,"Entertainment","Yes"
23446,4852,16,"Male",2,"News","No"
12954,3024,10,"Female",4,"News","No"
13214,2521,9,"Male",0,"Entertainment","No"
12648,250,2,"Male",2,"Entertainment","No"
17232,3320,10,"Male",2,"News","Yes"
13369,2853,10,"Male",2,"Entertainment","Maybe"
11596,4032,13,"Male",2,"Entertainment","Yes"
11169,3512,11,"Male",1,"Entertainment","No"
22327,3209,11,"Female",1,"News","No"
23209,3963,13,"Female",2,"Entertainment","Yes"
11155,3366,11,"Male",1,"Entertainment","No"
15681,4322,14,"Male",2,"Entertainment","No"
12935,2644,9,"Male",1,"Entertainment","Yes"
11890,1188,4,"Male",2,"News","Yes"
15590,3934,14,"Male",3,"Entertainment","No"
24911,3552,12,"Male",4,"News","Yes"
13958,2674,8,"Male",1,"News","Yes"
21499,1939,6,"Female",4,"Entertainment","No"
19727,3474,12,"Male",3,"News","Yes"
23023,2804,10,"Female",1,"Entertainment","Yes"
21290,4734,17,"Female",0,"News","No"
20202,2337,8,"Male",1,"News","Yes"
9251,2378,8,"Male",1,"Entertainment","Maybe"
18912,3394,11,"Male",2,"Entertainment","Yes"
19533,2781,9,"Male",2,"Entertainment","Yes"
12989,2979,10,"Other",1,"Entertainment","Maybe"
10502,2221,8,"Male",3,"News","Maybe"
21197,3826,13,"Female",2,"Entertainment","No"
5973,2273,9,"Female",0,"Entertainment","No"
10064,2110,8,"Female",2,"Entertainment","Maybe"
7445,2419,8,"Female",2,"Entertainment","No"
22779,2768,9,"Male",3,"Entertainment","Yes"
19004,2737,10,"Female",4,"News","Yes"
17220,4158,14,"Female",4,"Entertainment","No"
15253,1916,8,"Female",0,"News","Yes"
