"participant","minutes","n_previous_marathons","age","gender","hills","weather"
304,243,9,20,"Male",15,"Cloudy"
149,283,5,14,"Male",9,"Light Rain"
88,322,10,24,"Female",12,"Sunny"
430,292,10,45,"Female",8,"Sunny"
302,390,2,35,"Female",13,"Sunny"
374,390,7,29,"Female",13,"Cloudy"
475,329,8,38,"Male",12,"Sunny"
560,524,2,51,"Female",17,"Cloudy"
248,312,12,41,"Female",11,"Cloudy"
399,422,4,39,"Female",15,"Sunny"
321,239,10,21,"Male",4,"Cloudy"
474,128,9,19,"Female",9,"Sunny"
299,474,4,47,"Female",10,"Light Rain"
19,379,6,52,"Male",7,"Cloudy"
314,385,3,35,"Female",7,"Cloudy"
176,242,8,37,"Male",11,"Sunny"
483,445,6,35,"Female",18,"Sunny"
433,310,6,16,"Female",16,"Sunny"
239,282,4,29,"Male",7,"Cloudy"
194,306,8,24,"Female",9,"Cloudy"
510,373,6,33,"Female",13,"Sunny"
278,453,7,36,"Female",12,"Sunny"
36,320,7,14,"Female",14,"Sunny"
203,384,8,45,"Female",7,"Sunny"
32,267,11,23,"Female",7,"Sunny"
553,323,7,45,"Female",7,"Sunny"
522,349,6,42,"Female",12,"Sunny"
326,345,3,44,"Female",8,"Sunny"
315,382,6,46,"Female",9,"Cloudy"
383,365,6,28,"Female",-999,"Sunny"
369,396,6,41,"Male",8,"Sunny"
368,394,2,33,"Male",5,"Light Rain"
521,289,6,23,"Male",10,"Sunny"
119,349,7,40,"Male",17,"Cloudy"
352,234,12,36,"Male",11,"Sunny"
401,161,13,28,"Male",13,"Cloudy"
157,424,7,46,"Female",13,"Cloudy"
82,380,8,37,"Female",12,"Sunny"
359,359,6,43,"Female",15,"Sunny"
126,93,13,30,"Female",11,"Sunny"
558,437,7,31,"Female",11,"Cloudy"
480,384,8,32,"Female",7,"Cloudy"
376,152,12,15,"Female",3,"Sunny"
559,448,7,36,"Female",13,"Cloudy"
585,251,10,40,"Male",6,"Sunny"
453,429,5,40,"Female",12,"Sunny"
101,325,8,34,"Female",3,"Cloudy"
161,332,7,44,"Male",10,"Cloudy"
379,390,6,26,"Female",15,"Sunny"
344,264,5,41,"Female",12,"Cloudy"
138,319,9,46,"Male",6,"Sunny"
292,455,4,40,"Female",7,"Cloudy"
238,289,10,39,"Male",13,"Sunny"
156,284,6,8,"Female",9,"Light Rain"
588,241,8,29,"Male",7,"Sunny"
106,240,10,18,"Female",7,"Sunny"
17,300,5,34,"Male",11,"Cloudy"
4,250,10,24,"Male",11,"Cloudy"
45,341,4,34,"Female",9,"Sunny"
448,365,4,30,"Male",7,"Cloudy"
461,216,13,40,"Male",-999,"Sunny"
357,330,8,45,"Female",12,"Sunny"
129,406,4,51,"Female",9,"Sunny"
579,391,7,47,"Female",9,"Cloudy"
216,285,8,28,"Female",12,"Light Rain"
312,273,7,23,"Female",4,"Sunny"
212,386,5,37,"Female",12,"Cloudy"
43,410,6,52,"Female",6,"Cloudy"
279,293,3,20,"Male",8,"Cloudy"
556,370,7,29,"Female",10,"Sunny"
252,324,5,27,"Female",7,"Cloudy"
403,170,11,28,"Male",7,"Cloudy"
91,333,4,29,"Female",10,"Heavy Rain"
364,219,6,35,"Male",-999,"Sunny"
488,278,8,15,"Female",8,"Sunny"
296,211,9,23,"Male",11,"Sunny"
158,225,5,30,"Male",5,"Sunny"
52,198,6,15,"Male",13,"Cloudy"
441,433,5,42,"Female",9,"Heavy Rain"
11,266,12,48,"Female",10,"Cloudy"
536,309,9,38,"Female",7,"Cloudy"
104,291,12,35,"Male",12,"Sunny"
141,310,6,23,"Female",9,"Cloudy"
393,349,8,47,"Male",11,"Light Rain"
5,276,11,31,"Male",9,"Cloudy"
221,443,5,45,"Male",7,"Sunny"
50,233,10,33,"Female",9,"Sunny"
535,411,3,33,"Male",7,"Sunny"
190,287,11,31,"Female",8,"Sunny"
242,288,8,30,"Female",17,"Sunny"
256,261,9,20,"Female",14,"Cloudy"
491,261,12,39,"Female",10,"Cloudy"
58,385,9,35,"Female",11,"Light Rain"
111,176,11,40,"Female",9,"Light Rain"
342,379,4,38,"Female",12,"Cloudy"
164,377,6,31,"Female",9,"Cloudy"
15,403,4,31,"Female",12,"Sunny"
426,318,8,38,"Female",6,"Sunny"
350,328,8,45,"Male",10,"Sunny"
497,460,5,39,"Female",13,"Sunny"
562,308,11,36,"Male",17,"Cloudy"
16,204,10,42,"Other",10,"Sunny"
421,369,7,25,"Female",10,"Cloudy"
259,354,7,33,"Male",13,"Light Rain"
557,275,8,20,"Female",8,"Sunny"
243,474,4,42,"Female",13,"Heavy Rain"
509,285,11,38,"Male",8,"Cloudy"
471,362,4,18,"Female",16,"Light Rain"
227,342,7,47,"Male",10,"Cloudy"
355,352,8,40,"Other",13,"Cloudy"
109,324,6,30,"Male",8,"Sunny"
533,381,6,43,"Male",4,"Cloudy"
175,258,8,33,"Male",4,"Light Rain"
6,439,3,38,"Female",11,"Sunny"
494,200,8,38,"Female",6,"Cloudy"
218,387,6,38,"Female",12,"Sunny"
427,386,6,41,"Female",17,"Cloudy"
98,347,4,43,"Male",5,"Cloudy"
21,287,10,37,"Male",17,"Sunny"
351,310,4,16,"Female",10,"Cloudy"
356,210,13,27,"Female",10,"Cloudy"
322,310,5,38,"Male",8,"Cloudy"
506,328,5,36,"Female",15,"Light Rain"
290,329,8,22,"Female",5,"Sunny"
592,423,3,41,"Female",2,"Light Rain"
74,508,0,43,"Female",12,"Sunny"
513,271,10,34,"Female",6,"Cloudy"
466,374,5,45,"Female",11,"Sunny"
112,387,6,38,"Female",9,"Cloudy"
512,398,4,19,"Female",11,"Sunny"
272,391,1,20,"Male",14,"Cloudy"
56,463,5,38,"Female",13,"Sunny"
338,332,8,46,"Male",4,"Cloudy"
210,352,4,34,"Female",5,"Cloudy"
596,300,10,28,"Male",14,"Cloudy"
245,370,6,44,"Male",6,"Sunny"
463,459,7,41,"Female",12,"Cloudy"
145,314,10,29,"Female",11,"Sunny"
408,275,4,26,"Male",9,"Sunny"
597,378,7,37,"Female",10,"Sunny"
18,319,3,22,"Female",12,"Sunny"
438,343,7,34,"Female",6,"Cloudy"
275,266,9,31,"Male",17,"Sunny"
435,334,5,34,"Female",5,"Sunny"
61,299,8,33,"Female",9,"Cloudy"
291,215,5,7,"Female",7,"Sunny"
382,355,9,45,"Male",11,"Sunny"
142,403,6,40,"Female",12,"Cloudy"
13,220,8,18,"Male",12,"Sunny"
44,322,6,36,"Male",7,"Sunny"
319,335,6,23,"Male",11,"Sunny"
328,351,3,24,"Female",8,"Sunny"
313,377,8,52,"Female",13,"Sunny"
28,291,7,41,"Male",12,"Cloudy"
144,296,5,33,"Male",21,"Sunny"
552,345,5,34,"Male",14,"Cloudy"
201,430,5,29,"Female",-999,"Sunny"
504,325,3,47,"Male",11,"Sunny"
294,262,10,32,"Female",6,"Sunny"
140,388,6,47,"Other",9,"Sunny"
117,313,7,34,"Female",8,"Light Rain"
467,395,5,48,"Female",9,"Cloudy"
174,216,9,33,"Female",14,"Cloudy"
298,277,4,16,"Female",14,"Sunny"
568,287,9,46,"Male",7,"Cloudy"
84,338,9,24,"Female",10,"Sunny"
519,382,3,26,"Female",10,"Cloudy"
196,309,7,21,"Male",12,"Light Rain"
24,194,14,42,"Male",7,"Light Rain"
150,250,9,19,"Female",8,"Sunny"
159,344,6,37,"Female",8,"Sunny"
582,203,9,25,"Female",7,"Cloudy"
409,316,6,37,"Female",10,"Light Rain"
514,347,6,37,"Male",-999,"Cloudy"
35,426,2,39,"Female",11,"Cloudy"
405,283,6,21,"Female",7,"Light Rain"
465,360,7,39,"Male",13,"Sunny"
550,342,6,35,"Female",13,"Sunny"
195,252,11,26,"Female",9,"Cloudy"
589,267,13,27,"Female",10,"Cloudy"
486,408,4,29,"Female",11,"Sunny"
446,209,8,13,"Male",15,"Light Rain"
501,345,6,39,"Female",7,"Sunny"
148,419,3,44,"Male",14,"Cloudy"
205,283,6,20,"Female",10,"Cloudy"
169,318,6,36,"Male",-999,"Cloudy"
225,419,3,46,"Female",9,"Light Rain"
528,346,2,16,"Female",14,"Cloudy"
530,317,6,21,"Female",11,"Light Rain"
93,321,6,44,"Female",6,"Sunny"
254,365,5,37,"Female",13,"Cloudy"
1,364,5,28,"Female",11,"Cloudy"
63,383,6,38,"Female",10,"Sunny"
404,308,7,36,"Female",6,"Sunny"
181,257,10,35,"Male",10,"Cloudy"
220,179,11,33,"Female",7,"Cloudy"
594,436,4,53,"Female",10,"Sunny"
20,308,12,44,"Female",17,"Light Rain"
182,411,6,38,"Other",11,"Light Rain"
473,392,6,40,"Female",11,"Cloudy"
392,415,5,47,"Female",14,"Sunny"
38,413,5,33,"Female",13,"Heavy Rain"
66,279,6,33,"Female",9,"Light Rain"
267,390,6,40,"Female",9,"Cloudy"
375,332,7,36,"Male",7,"Cloudy"
452,350,6,34,"Male",5,"Sunny"
211,314,7,34,"Male",11,"Cloudy"
55,362,7,26,"Female",9,"Cloudy"
213,386,5,44,"Female",14,"Sunny"
207,194,6,26,"Female",4,"Sunny"
128,260,4,35,"Female",13,"Sunny"
361,401,4,44,"Other",8,"Sunny"
69,244,9,44,"Other",9,"Light Rain"
498,367,3,31,"Male",10,"Cloudy"
183,365,8,48,"Female",9,"Cloudy"
439,365,4,34,"Female",12,"Cloudy"
280,355,8,35,"Female",13,"Cloudy"
297,361,13,34,"Male",16,"Cloudy"
271,440,10,45,"Other",10,"Cloudy"
46,369,4,17,"Female",10,"Sunny"
57,345,4,39,"Male",12,"Sunny"
300,360,9,54,"Female",8,"Sunny"
283,236,6,23,"Male",5,"Sunny"
307,410,4,28,"Female",9,"Cloudy"
387,276,5,33,"Male",7,"Sunny"
97,325,9,27,"Female",7,"Sunny"
341,301,6,27,"Male",15,"Sunny"
241,167,7,32,"Female",5,"Sunny"
163,292,8,40,"Other",6,"Cloudy"
478,415,0,32,"Female",8,"Cloudy"
569,299,7,30,"Male",15,"Sunny"
258,332,6,30,"Male",5,"Cloudy"
79,309,6,35,"Male",-999,"Cloudy"
432,318,7,44,"Male",7,"Sunny"
599,272,10,39,"Male",12,"Sunny"
276,435,9,49,"Male",18,"Sunny"
578,537,2,53,"Female",13,"Light Rain"
323,420,4,43,"Female",15,"Light Rain"
12,418,7,43,"Female",6,"Sunny"
274,403,4,38,"Female",11,"Cloudy"
336,246,7,16,"Female",8,"Cloudy"
286,337,6,33,"Male",10,"Sunny"
116,261,4,9,"Female",14,"Sunny"
571,216,7,24,"Male",7,"Sunny"
76,291,5,29,"Male",9,"Sunny"
459,360,4,15,"Female",7,"Sunny"
131,294,8,33,"Female",8,"Sunny"
263,249,8,24,"Male",7,"Sunny"
590,267,7,39,"Male",7,"Cloudy"
23,254,8,22,"Female",7,"Cloudy"
450,416,8,39,"Female",12,"Cloudy"
75,331,7,40,"Other",15,"Cloudy"
347,210,13,27,"Female",8,"Cloudy"
378,283,5,22,"Male",7,"Cloudy"
122,354,6,38,"Female",18,"Cloudy"
570,329,10,52,"Female",12,"Sunny"
485,171,11,22,"Female",5,"Cloudy"
152,368,7,45,"Male",9,"Sunny"
3,376,6,26,"Female",8,"Cloudy"
455,401,5,33,"Female",6,"Cloudy"
529,273,14,23,"Female",10,"Cloudy"
537,395,6,17,"Female",11,"Cloudy"
7,258,7,15,"Male",12,"Cloudy"
37,311,9,21,"Male",11,"Sunny"
308,283,2,21,"Female",10,"Sunny"
2,159,9,27,"Male",7,"Light Rain"
499,238,8,37,"Male",8,"Light Rain"
396,424,5,60,"Male",13,"Cloudy"
103,302,7,29,"Female",7,"Cloudy"
442,307,7,45,"Male",10,"Light Rain"
591,253,7,25,"Female",4,"Sunny"
584,363,6,47,"Female",17,"Sunny"
209,363,4,37,"Female",11,"Cloudy"
235,443,5,54,"Other",5,"Cloudy"
363,433,10,55,"Male",12,"Sunny"
415,398,5,49,"Female",7,"Sunny"
64,382,5,45,"Male",12,"Sunny"
496,234,14,43,"Female",9,"Light Rain"
493,467,7,44,"Female",11,"Heavy Rain"
575,327,12,50,"Female",8,"Cloudy"
86,358,6,49,"Male",6,"Light Rain"
147,437,5,39,"Female",9,"Sunny"
402,220,4,20,"Male",10,"Sunny"
555,453,7,58,"Female",15,"Light Rain"
188,244,7,29,"Female",10,"Sunny"
482,295,9,44,"Male",11,"Sunny"
