"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"MSI",0,"Medium",2,1071,709
"HP",1,"Large",1,890,746
"MSI",3,"Large",2,1132,783
"Apple",6,"Medium",6,817,228
"HP",3,"Medium",2,1122,635
"MSI",2,"Large",1,1184,840
"MSI",2,"Medium",1,1370,865
"MSI",3,"Medium",5,944,309
"HP",1,"Medium",1,1208,822
"HP",1,"Medium",3,936,461
"HP",2,"Medium",1,716,598
"MSI",1,"Medium",3,640,408
"HP",1,"Small",0,839,626
"HP",1,"Medium",2,1443,725
"MSI",4,"Large",2,1177,731
"HP",3,"Large",2,901,639
"HP",3,"Medium",2,756,501
"MSI",2,"Large",2,1181,777
"Apple",0,"Large",3,1110,672
"HP",0,"Large",0,1034,852
"MSI",3,"Medium",6,883,178
"MSI",2,"Large",2,1000,658
"HP",2,"Small",4,843,261
"MSI",1,"Medium",2,971,689
"HP",1,"Medium",2,990,611
"HP",0,"Medium",2,1057,614
"HP",4,"Large",3,850,495
"MSI",2,"Medium",2,1154,738
"MSI",2,"Small",3,1219,483
"HP",3,"Medium",0,1096,850
"HP",1,"Small",5,1136,234
"MSI",1,"Medium",4,1031,512
"MSI",3,"Large",2,567,559
"HP",2,"Medium",1,1189,756
"HP",3,"Medium",1,773,662
"MSI",0,"Medium",2,1170,610
"MSI",3,"Medium",3,1060,581
"MSI",4,"Medium",3,929,531
"MSI",6,"Medium",3,916,518
"HP",4,"Medium",1,909,606
"HP",3,"Medium",0,796,772
"HP",1,"Medium",2,911,601
"HP",0,"Medium",4,1170,477
"MSI",1,"Medium",3,764,504
"HP",5,"Medium",0,1053,853
"HP",3,"Medium",2,904,552
"HP",2,"Small",1,1088,649
"HP",2,"Large",2,1093,723
"HP",0,"Medium",4,1175,436
"MSI",4,"Large",2,1137,772
"MSI",5,"Large",2,1315,826
"Apple",3,"Large",3,713,608
"HP",2,"Medium",2,537,433
"Apple",4,"Large",2,783,731
"MSI",4,"Large",0,934,856
"MSI",3,"Large",0,1067,946
"HP",0,"Large",2,846,610
"HP",2,"Medium",1,884,647
"Apple",1,"Large",3,1637,840
"HP",5,"Large",1,796,737
"HP",5,"Medium",0,461,658
"Apple",2,"Medium",4,1126,570
"HP",3,"Medium",2,807,536
"MSI",3,"Large",1,1025,818
"MSI",2,"Medium",1,1107,822
"HP",2,"Medium",2,1112,629
"MSI",4,"Medium",4,1082,421
"MSI",1,"Medium",2,1183,696
"MSI",3,"Medium",3,1102,612
"HP",4,"Large",4,763,387
"HP",0,"Large",3,843,531
"MSI",3,"Large",1,1260,912
"HP",2,"Medium",0,1355,875
"HP",2,"Medium",1,1146,804
"HP",4,"Medium",2,1023,561
"HP",2,"Large",0,781,746
"HP",2,"Medium",3,1354,542
"MSI",6,"Large",4,1678,678
"HP",2,"Medium",2,662,527
"MSI",3,"Medium",0,945,828
"HP",3,"Medium",0,1279,906
"HP",2,"Medium",0,1046,806
"MSI",0,"Small",1,974,661
"HP",3,"Medium",2,899,554
"HP",3,"Large",2,1093,683
"HP",2,"Medium",4,851,338
"MSI",5,"Large",6,999,344
"MSI",1,"Medium",1,1075,773
"MSI",2,"Medium",3,1256,620
"HP",1,"Large",2,1060,659
"MSI",4,"Medium",0,1331,996
"HP",2,"Small",1,985,622
"Apple",2,"Medium",2,1401,820
"MSI",1,"Medium",4,1165,487
"HP",1,"Small",2,980,515
"MSI",4,"Large",1,1084,779
"Apple",2,"Medium",0,1102,937
"MSI",0,"Large",0,1137,903
"HP",0,"Medium",3,1121,545
"HP",2,"Small",0,915,752
"MSI",5,"Medium",2,1102,671
"HP",0,"Medium",4,1239,436
"HP",3,"Medium",1,982,693
"HP",3,"Large",3,998,581
"MSI",2,"Small",3,795,366
"HP",2,"Large",2,978,643
"HP",4,"Small",3,1132,476
"MSI",1,"Medium",0,1151,846
"HP",1,"Medium",3,1125,564
"HP",3,"Small",2,1134,541
"HP",2,"Medium",4,1154,440
"MSI",1,"Medium",2,1037,677
"HP",3,"Medium",1,942,717
"MSI",2,"Large",1,1023,812
"HP",0,"Small",4,1056,318
"HP",1,"Medium",0,962,766
"Apple",2,"Medium",2,1559,861
"Apple",2,"Large",3,1148,662
"MSI",3,"Medium",2,1116,701
"Apple",1,"Medium",3,720,498
"HP",2,"Medium",0,928,742
"HP",3,"Small",3,1124,432
"HP",2,"Large",1,970,780
"MSI",0,"Medium",0,1068,883
"MSI",3,"Medium",2,1168,644
"Apple",1,"Small",3,490,381
"MSI",1,"Medium",1,1074,731
"HP",2,"Large",3,1084,583
"MSI",6,"Large",0,855,855
"MSI",1,"Small",5,1011,250
"HP",3,"Large",0,933,830
"MSI",2,"Medium",4,914,474
"MSI",1,"Medium",5,560,222
"MSI",1,"Large",5,1161,432
"MSI",2,"Small",2,800,536
"MSI",2,"Large",1,1011,770
"Apple",2,"Large",2,875,747
"HP",3,"Medium",2,1292,657
"HP",3,"Large",2,977,594
"HP",3,"Large",2,958,629
"MSI",0,"Medium",1,1061,722
"HP",0,"Medium",3,861,405
"HP",1,"Large",1,1145,826
"HP",0,"Small",2,976,473
"HP",0,"Medium",2,1285,681
"HP",3,"Medium",1,779,591
"HP",1,"Small",2,736,471
"HP",1,"Medium",3,1230,566
"MSI",2,"Large",1,980,822
"HP",1,"Medium",2,1208,726
"HP",0,"Medium",2,702,481
"HP",1,"Large",1,778,711
"MSI",1,"Medium",3,967,544
"HP",1,"Large",2,601,575
"MSI",2,"Medium",0,1228,876
"HP",2,"Medium",0,1100,820
"HP",1,"Large",3,1204,620
"MSI",1,"Large",0,873,899
"HP",5,"Medium",1,1170,741
"HP",0,"Medium",3,1191,584
"HP",1,"Medium",3,1115,549
"Apple",3,"Medium",4,1043,515
"HP",2,"Large",1,1117,746
"HP",2,"Medium",2,1059,656
"Apple",0,"Large",2,1154,763
"HP",1,"Medium",1,870,687
"MSI",0,"Large",2,1058,751
"HP",3,"Medium",1,748,645
"MSI",0,"Small",1,978,582
"MSI",0,"Medium",3,1296,618
"HP",4,"Medium",1,1131,758
"HP",3,"Medium",3,934,466
"MSI",4,"Large",3,756,550
"HP",1,"Medium",2,948,626
"HP",2,"Medium",2,1253,682
"MSI",1,"Small",3,1143,503
"MSI",0,"Medium",2,1283,694
"HP",1,"Small",4,1019,349
"Apple",4,"Small",2,1157,642
"HP",2,"Medium",2,1380,747
"MSI",2,"Small",3,1299,509
"HP",2,"Large",3,969,554
"MSI",4,"Medium",2,986,646
"Apple",2,"Small",6,826,105
"MSI",1,"Small",3,1033,440
"HP",1,"Medium",5,826,242
"MSI",1,"Large",1,1111,810
"MSI",1,"Medium",0,662,762
